وطاب من~25#248#18#23
وطلوعه من~64#1743#153#198
وطمأنينة إلى~82#2227#277#314
وطمأنينة القلب~87#3528#186#15,87#3579#14#66,87#3892#361#379
وطمأنينة النفس~87#3542#302#29
وطمأنينة بها~39#756#132#75
وطمانينة القلب~55#1565#41#143,55#1565#50#143
وطمحت إليه~1#16#29#97
وطمع النفس~39#822#131#143
وطمع في~26#329#33#18,26#329#52#18,26#329#69#18,87#3792#319#279
وطمعا في~82#2143#266#230,82#2143#272#230,82#2144#4#231,82#2242#174#329,82#2242#187#329,82#2242#195#329,82#2502#186#137,82#2502#195#137,82#2502#201#137,82#2502#208#137,82#2503#62#138,82#2503#80#138
وطمعا وقال~87#3425#188#359
وطمعتك من~87#4000#98#487
وطمعها إلى~37#440#87#48
وطمعهم في~37#465#108#73
وطن في~87#3508#127#442
وطن نفسه~90#4397#284#412
وطن ولا~85#2908#35#54
وطنا ثم~82#2071#83#158
وطنا فيه~41#973#78#62
وطنا كما~86#3008#187#154
وطنا له~82#2375#234#10
وطنك الذي~82#2477#155#112
وطنك من~82#2477#201#112
وطنكقوله عز~82#2169#124#256
وطنه فقال~82#2119#100#206
وطنه فهو~41#1266#8#355,90#4241#171#247
وطنه وهو~41#1164#109#253
وطهر به~82#2311#158#398
وطهر ذلك~82#2019#83#106
وطهرتهوروي عن~83#2843#47#72
وطهور القلب~86#3048#178#194
وطهوره فإذا~87#3131#191#65
وطواهم في~87#3214#404#148,87#3248#92#182
وطوبى له~87#3483#94#417
وطوت عليه~11#147#161#48
وطوره فقال~82#2365#8#452
وطوعت لك~87#3933#98#420
وطولب أو~87#3708#55#195
وطولب في~60#1671#113#469
وطوله فهو~71#1831#186#140
وطوله هو~71#1832#72#141
وطوى له~87#3638#162#125
وطوي ما~7#123#168#12
وطيب النفس~41#1029#60#118,87#3579#8#66
وطيبته لم~37#433#64#41
وطيبه كما~90#4223#58#229
وطيف لا~87#3565#140#52
وظائف الحق~39#810#35#131,39#810#154#131,39#821#18#142
وظاهر أن~67#1761#183#27
وظاهر العلم~37#540#16#149
وظاهر في~20#187#73#152,87#3654#92#141
وظاهر هذه~87#3661#84#148
وظاهره عن~41#1142#113#231
وظاهره ولم~87#3514#354#448
وظف الله~39#820#97#141
وظفت على~60#1678#180#476
وظل كل~87#3113#263#47
وظلامه في~90#4178#175#184
وظلامه من~90#4556#185#571
وظلم العبد~87#3954#45#441
وظلم نفسه~82#2091#184#178,83#2821#49#50
وظلم ولا~71#1826#36#135
وظلماتسمعت أبا~41#1127#169#216
وظلمة العلم~41#1069#89#158
وظلمةطولت علي~91#4573#49#5
وظلمته وفي~87#3240#391#174
وظلمه على~82#2285#109#372
وظلموا لم~87#3252#158#186
وظن أبو~87#3979#83#466
وظن أن~82#2303#159#390
وظن أنه~41#1135#48#224,82#2449#131#84,87#3767#48#254
وظننت أن~87#3277#138#211
وظنه ثم~87#3430#50#364
وظنوا أن~41#1152#15#241,82#2204#106#291,82#2518#28#153,90#4207#153#213
وظهر به~87#3747#329#234
وظهر ذلك~7#129#258#18
وظهر له~87#3405#13#339,87#3565#401#52,87#3638#159#125
وظهر ما~87#3572#139#59
وظهر من~7#133#92#22,82#2687#257#322,87#3487#146#421
وظهرت علي~41#1328#170#418
وظهرت عليه~60#1680#80#478,82#2530#104#165,87#3427#123#361
وظهرت في~11#147#136#48
وظهرت فيه~87#3797#115#284
وظهرت لا~86#3013#122#159
وظهرت له~41#1272#158#361,87#3792#289#279
وظهرت منه~87#3427#147#361
وظهرتا به~90#4019#89#25
وظهور النفس~87#3263#20#197
وظهور ما~39#760#148#79
وظهور نفسه~87#3227#325#161
وظهوره وما~82#2355#93#442
وظهورها على~90#4507#187#522
وظواهرها من~87#3125#83#59
وعاء القلب~82#2650#168#285
وعاء من~37#577#6#186
وعائشة في~87#3759#203#246
وعائشة يا~87#3556#34#43
وعاب عن~85#2863#119#9
وعابه فقال~87#3885#150#372
وعاجل الدنيا~87#3181#57#115
وعاجلته يا~86#3003#36#149
وعاد إلى~90#4098#28#104,90#4204#23#210,90#4373#104#388,90#4525#235#540
وعاد عليه~25#299#118#74
وعادا إليه~90#4373#35#388
وعاداتهم وهو~51#1534#62#155
وعاداها في~25#242#134#17
وعادة أي~87#3794#225#281
وعادة الناس~90#4336#187#351
وعادة كما~87#3804#254#291
وعادت إليه~82#2021#131#108,82#2159#124#246
وعارف وإن~39#740#24#59
وعاش إلى~90#4105#18#111
وعاش بعد~90#4075#42#81
وعاش في~87#3277#21#211
وعاش كما~41#1105#19#194,90#4107#20#113
وعاشوا في~82#2535#107#170
وعاصرناهم وإن~90#4142#182#148
وعافية القلب~87#3419#59#353
وعافية وقد~17#173#45#193
وعاقبة الله~17#174#205#194
وعاقبة وهو~82#2035#145#122
وعاقبته إلى~82#2372#247#7
وعاقبهم عليه~82#2597#146#232
وعالم بما~82#2241#128#328
وعالم به~2#23#44#21
وعالم بين~82#2508#86#143
وعالم لا~87#3649#83#136
وعالم لله~87#3308#275#242
وعالم منه~87#3587#52#74
وعالما به~82#2003#110#90
وعام في~86#3060#112#206
وعامة من~60#1667#198#465
وعامته هذا~37#516#65#125
وعامل به~87#3157#40#91
وعامل لا~83#2834#77#63
وعامل من~87#3804#308#291
وعاملنا الله~46#1499#124#71
وعاملنا من~83#2837#109#66
وعاملني في~67#1783#72#49
وعاملهم من~83#2837#97#66
وعامهم حتى~46#1491#325#65
وعانقوا بعضهم~80#1902#13#27
وعاه كما~87#3317#199#251
وعاه وهو~87#3444#71#378
وعايدة عليه~67#1778#166#44
وعبادة بن~87#3761#86#248
وعبادة كما~82#2210#15#297
وعبادته غير~25#254#23#29
وعبادته مع~82#2123#49#210
وعبادتهقوله تعالى~82#2431#103#66
وعبادتهم لا~52#1538#250#52
وعبادتهم له~19#183#84#148
وعبادهقوله تعالى~82#2475#15#110
وعبارات الناس~90#4471#81#486
وعبارتها ومن~37#504#78#113
وعبد الله~41#1266#115#355,41#1287#81#376,41#1288#106#377,41#1329#30#419,41#1331#85#421,52#1536#163#50,87#3192#197#126,87#3868#14#355,87#3961#318#448,90#4391#153#406,39#713#28#32,40#868#40#64
وعبد في~87#3610#81#97
وعبد قال~87#3585#304#72,87#3585#522#72
وعبدوا الناس~40#873#89#69
وعبر عن~87#3441#62#375,39#708#6#27,39#769#101#88
وعبر عنه~87#3476#15#410
وعبرة إذا~87#3942#57#429
وعبرت إلا~85#2898#166#44
وعبرومنهم من~39#806#51#127
وعبيد من~76#1855#67#219
وعبيدك قال~49#1518#5#378
وعبيده من~78#1876#75#49
وعت عن~82#2712#109#347
وعت كما~87#3317#244#251
وعتابهقال أبو~82#2352#212#439
وعتبة بن~87#3484#196#418
وعترتى أهل~40#922#12#118
وعتقها من~15#163#120#74
وعثمان في~87#3708#341#195
وعجب كل~25#309#164#84
وعجبا له~37#577#77#186
وعجبت منه~87#3628#38#115
وعجبنا من~87#3687#433#174
وعجز عن~46#1501#33#75
وعجزت عن~87#3083#18#17,39#821#117#142
وعجزه عن~87#3095#55#29
وعجزهم عن~82#1948#23#35,37#557#46#166
وعجزهم فقال~82#2659#257#294
وعجزي عن~39#823#17#144
وعجل هذه~87#3502#75#436
وعد إذا~87#3963#286#450
وعد ابن~87#3152#258#86
وعد الله~41#1129#34#218,82#2089#109#176,82#2217#47#304,82#2217#85#304,82#2465#222#100,82#2493#219#128,82#2493#234#128,82#2558#198#193,82#2576#195#211,82#2578#91#213,82#2578#106#213,82#2598#183#233,82#2686#125#321,82#2745#32#380,83#2824#59#53,25#301#66#76,87#3209#89#143,87#3689#37#176,87#3722#155#209,87#3739#117#226,87#3932#394#419,38#663#30#132,39#735#55#54
وعد النبي~82#2728#178#363
وعد به~87#3242#442#176
وعد تعالى~87#3330#374#264
وعد ذلك~25#254#123#29,87#3209#160#143
وعد على~39#743#54#62
وعد عليه~41#1233#56#322
وعد عن~40#908#140#104
وعد له~82#2738#168#373
وعد لهم~82#2149#225#236,82#2387#118#22
وعد من~82#2001#66#88,82#2099#114#186,82#2221#57#308,90#4027#291#33
وعد هذا~87#3714#186#201
وعد وقال~52#1539#285#53
وعد ولا~87#3784#364#271
وعد ومن~87#3430#89#364
وعدا ثم~40#857#60#53
وعدالته قال~25#294#128#69
وعدة في~87#3876#33#363
وعدة كما~87#3483#57#417
وعدت أن~90#4257#255#263
وعدت به~87#3647#42#134
وعدتنا على~87#3093#389#27,87#3163#9#97
وعدتني أن~87#3152#276#86
وعدته ثم~87#3103#44#37
وعدته فإن~87#3145#241#79
وعدد ما~87#3089#81#23,87#3089#122#23,87#3089#131#23
وعددنا في~87#3496#367#430
وعددهم في~87#3258#436#192
وعدقوله تعالى~82#2661#115#296
وعدك الحق~61#1706#183#193,82#2189#222#276,87#3452#290#386
وعدك عليه~82#1987#137#74
وعدل به~87#3501#104#435,87#3899#225#386
وعدل على~87#3724#125#211
وعدل لأن~21#203#40#171
وعدلا على~82#2125#43#212,87#3256#87#190,87#3684#60#171
وعدلا كما~87#3528#141#15,87#3587#20#74
وعدلا لا~87#3684#51#171
وعدله إذا~52#1539#280#53
وعدله على~82#2666#90#301
وعدله في~52#1539#119#53
وعدله ولا~52#1540#193#54
وعدله ومن~82#2671#206#306
وعدلوا به~87#3614#168#101
وعدلوا عن~69#1796#5#11
وعدم بعض~87#3740#43#227
وعدمه حتى~90#4564#141#579
وعدمه وكان~87#3538#381#25
وعدمها عند~82#2335#140#422
وعدمها لا~87#3655#199#142
وعدمهم حتى~78#1877#90#50
وعده الذي~82#2149#223#236
وعده الله~82#2387#93#22,87#3389#178#323,87#3645#273#132,87#3723#344#210,90#4050#196#56,41#976#130#65
وعده بها~87#3699#156#186
وعده على~87#3389#188#323
وعده في~87#3887#103#374
وعده كما~87#3558#131#45
وعده مع~87#3932#402#419
وعده من~87#3421#365#355,37#459#32#67
وعده ومن~39#743#170#62
وعده يا~87#3196#35#130
وعدهقال بعضهم~82#2395#55#30
وعدهم تعالى~87#3909#31#396
وعدهم عليه~25#310#43#85
وعدهم من~82#2730#26#365,87#3278#345#212,87#3722#116#209
وعدهوقال ابن~82#2333#45#420
وعدوا به~67#1767#111#33
وعدوا لم~41#1080#32#169
وعدوا من~82#2387#88#22
وعدوانا لم~87#3837#414#324
وعدوك حتى~37#520#66#129
وعدوك وهو~2#25#11#23
وعدول كل~87#3736#303#223
وعدوه عن~82#2796#123#431
وعدوه ما~37#575#73#184
وعدوه من~82#2511#150#146,87#3345#73#279
وعديني ولا~82#2150#182#237
وعذاؤها في~82#2164#44#251
وعذاب في~2#78#45#76
وعذابها في~82#2308#158#395
وعذبوه حتى~75#1854#136#69
وعذره وما~87#3462#4#396
وعرج به~82#2620#2#255
وعرضت على~82#2517#179#152,87#3568#317#55
وعرضه أي~87#3989#302#476
وعرضه ثم~87#3175#84#109
وعرضه على~82#2657#30#292,3#86#30#211
وعرضه لما~87#3822#50#309
وعرضه وإن~87#3884#349#371
وعرضه ومن~81#1934#28#36,87#3988#75#475
وعرف أن~82#2291#213#378
وعرف فإن~87#3330#255#264
وعرف ما~41#1031#36#120,67#1769#149#35
وعرف من~8#137#4#28,87#3988#325#475,37#429#99#37,37#504#34#113
وعرف نفسه~15#162#131#73
وعرفات لم~46#1508#99#80
وعرفانه هو~35#421#30#216
وعرفت أن~30#348#212#8
وعرفت ذلك~86#3061#106#207
وعرفت ما~41#983#7#72
وعرفهم نفسه~10#144#164#42,82#2163#91#250
وعرفوا ما~82#2247#171#334,90#4013#43#19
وعرى عن~87#3328#323#262
وعريه من~87#3968#276#455
وعز أن~10#146#233#44
وعز إليه~34#414#73#108
وعز إن~39#756#66#75
وعز عن~71#1832#39#141,39#801#170#122
وعز فقال~90#4420#206#435
وعز قد~34#409#28#102
وعز كل~19#183#89#148,25#298#61#73
وعز لا~25#251#138#26
وعز من~82#2549#243#184
وعز هو~39#762#177#81
وعز وجل~90#4259#42#265
وعز وفي~82#1990#60#77
وعز يا~25#244#104#19,38#691#39#175
وعز يقول~82#2156#100#243
وعزائم العلم~86#3071#25#217
وعزائمه لأن~87#3403#242#337
وعزة النفس~1#5#52#85
وعزة من~90#4460#11#475
وعزتك لا~54#1549#110#55,90#4518#62#533,39#835#43#156
وعزتك ما~87#3777#24#264
وعزته تعالى~90#4040#60#46
وعزته عن~87#3412#29#346
وعزتي إن~85#2904#125#50
وعزتي لا~87#3547#385#34,87#3842#318#329
وعزتي لي~85#2905#49#51
وعزرائيل عليهم~82#2417#141#52
وعزز ما~41#1279#8#368
وعززت حتى~41#1171#168#260
وعزسمعت عبد~82#2694#87#329
وعزفت عن~37#440#95#48
وعزل عن~41#1207#93#296,87#3205#354#139,87#3341#361#275
وعزلهم عن~87#3687#424#174
وعزم على~25#299#95#74,90#4204#79#210
وعزم عليه~87#3549#224#36
وعزم في~87#3228#679#162
وعزما كان~87#3287#147#221
وعزمه فإذا~37#538#110#147
وعزمه في~37#486#46#95
وعزموا على~87#3479#250#413
وعزه في~37#495#85#104
وعزه لأن~87#3658#2#145
وعزه وفي~90#4280#63#286
وعزه يا~87#3195#360#129
وعزوا في~24#229#182#139
وعزوف النفس~39#706#35#25
وعزوفها عن~39#768#49#87
وعزيز ابن~30#360#117#20
وعزيز بعد~82#2134#116#221
وعزيز على~87#3991#12#478
وعسل في~87#3493#172#427
وعسى أن~82#2576#52#211,87#3399#361#333,87#3399#368#333,30#350#252#10,30#350#270#10,87#3553#255#40,87#3553#262#40,30#362#61#22,30#362#103#22,30#362#127#22,87#3647#71#134,87#3647#78#134,87#3983#60#470
وعسىوقال أبو~41#1264#43#353
وعشرا من~87#3130#267#64
وعشرة منها~90#4258#218#264
وعشرتهم إلى~54#1552#214#58
وعشرين أنه~87#3762#285#249
وعشرين أهل~87#3303#28#237
وعشرين أو~90#4114#23#120
وعشرين إذا~87#3144#405#78,87#3144#409#78
وعشرين من~87#3180#269#114,87#3294#291#228,87#3297#332#231,87#3323#386#257,87#3713#187#200
وعشرين منه~87#3180#76#114
وعشرين ولا~87#3546#597#33
وعشقت من~41#1190#182#279
وعشية بما~87#3093#494#27
وعشية وقال~87#3083#121#17
وعصا من~90#4437#181#452
وعصام بن~30#348#71#8
وعصاه في~37#566#34#175
وعصاهوتعرف يا~37#429#33#37
وعصرنا كان~29#345#210#41
وعصمته لا~82#2733#122#368
وعصى الله~83#2821#43#50
وعصيتم من~87#3380#40#314,87#3417#54#351,87#3551#337#38
وعطاء من~87#3826#285#313
وعطاءقوله تعالى~82#2042#71#129
وعطاؤك لا~41#1174#189#263
وعطاؤه منها~87#3850#21#337
وعطائه ولا~87#3696#195#183
وعطائه ومن~82#2671#181#306
وعطاياه أن~82#2479#258#114
وعطاياه لهم~21#202#54#170
وعطبك وقد~2#43#0#41
وعطبه فيه~87#3769#209#256
وعطشه وقد~87#3701#241#188
وعطف عليه~87#3631#231#118
وعطف عليهم~11#148#172#49
وعطفت عليه~82#2392#27#27
وعطفهم عليهم~87#3470#224#404
وعظ في~1#10#5#90
وعظ قال~1#11#4#91
وعظ ولم~38#607#4#59
وعظائمها لا~87#3367#337#301
وعظم علي~87#3925#196#412
وعظم فإن~87#3674#298#161
وعظم ما~82#2581#203#216,85#2876#26#22
وعظمة الله~2#68#40#66
وعظمة من~86#3062#127#208
وعظمته وقد~87#3509#40#443
وعظمته وما~3#96#65#221
وعظمناه لا~87#3639#300#126
وعظمني يا~82#2046#190#133
وعظمه عن~87#3449#382#383
وعظمها عند~87#3895#90#382
وعظمهم عن~87#3639#67#126
وعظمي قال~41#1027#29#116
وعظه الله~83#2810#104#39
وعظه على~82#2495#134#130
وعظهم النبي~87#3433#150#367
وعظهم من~74#1852#52#67
وعظوا به~87#3228#87#162
وعظيم ما~3#105#122#230
وعفت عن~37#439#5#47
وعفو الله~87#3117#407#51,87#3702#177#189,87#3778#57#265
وعقابه في~3#91#93#216
وعقابهفتعاهد يا~37#579#63#188
وعقباك عن~82#2739#132#374
وعقباهوقال أبو~82#2526#252#161
وعقبيه على~87#3627#278#114
وعقد فإن~85#2987#95#0
وعقدهم مع~89#4008#46#45
وعقل عن~3#100#82#225,3#100#157#225,3#101#60#226,3#103#119#228,3#104#40#229,3#106#28#231,3#106#90#231,3#98#15#223
وعقل عنه~3#96#117#221,3#96#142#221,3#97#130#222
وعقل ولم~3#92#107#217
وعقل ومن~87#3856#132#343
وعقلا ثم~87#3571#225#58
وعقلائهم وكان~87#3336#172#270
وعقلك هو~85#2873#20#19
وعقله فلا~37#573#53#182
وعقله وكان~52#1540#207#54
وعقلها ثم~87#3773#119#260
وعقلهواعلم أن~38#622#10#84
وعقوبات الناس~84#2852#270#5
وعقوبةسمعت عبد~41#1245#106#334
وعقود القلب~87#3719#60#206
وعقودها على~87#3732#3#219
وعقولهم في~87#3335#201#269
وعكفوا على~87#3264#24#198
وعكوفها عليه~87#3395#40#329
وعل هذا~59#1628#123#26
وعلا أي~87#3288#93#222
وعلا إن~82#2565#108#200,87#3478#275#412
وعلا على~41#1124#121#213
وعلا عن~87#3657#452#144
وعلا في~58#1621#129#22
وعلا لا~30#352#23#12
وعلا له~87#3280#107#214
وعلا هو~87#3420#441#354
وعلا وفي~87#3856#76#343
وعلا ولا~87#3466#208#400
وعلا يقول~19#179#60#144
وعلائقها من~82#2411#310#46,82#2416#44#51
وعلاقوله تعالى~82#1988#113#75
وعلاماتبسم الله~37#541#1#150
وعلاماته فيها~82#2660#97#295
وعلامة ذلك~87#3235#79#169,87#3235#91#169,87#3235#103#169,87#3235#141#169,87#3541#253#28,87#3541#655#28,87#3633#94#120,87#3645#208#132,38#635#11#100,38#693#80#177,38#694#10#178
وعلامة هذا~87#3897#201#384
وعلامته أن~82#2444#137#79
وعلانية ثم~46#1484#102#56
وعلانية في~82#2598#195#233,87#3515#109#449
وعلانية لأن~82#2186#67#273
وعلانيةقوله تعالى~82#2343#209#430
وعلانيتك في~37#561#89#170
وعلانيته لله~82#2559#129#194,82#2775#71#410
وعلانيته من~60#1686#133#484
وعلانيته وما~37#428#165#36
وعلانيتهم في~87#3853#13#340
وعلاوالاستتار أن~39#801#173#122
وعلة على~7#133#51#22
وعلة كل~90#4017#98#23,90#4448#106#463
وعلت في~11#147#139#48
وعلت لأن~82#2550#11#185
وعلته لا~68#1787#90#148
وعلق في~87#3634#345#121
وعلقهم على~76#1860#42#224
وعلقوه على~75#1854#133#69
وعلل ذلك~56#1575#75#78
وعلم أن~82#2182#78#269,87#3818#40#305,87#3967#249#454
وعلم أنه~69#1793#124#8,82#2629#158#264,25#274#58#49,39#795#72#114
وعلم العبد~82#2593#251#228
وعلم الله~2#24#84#22,87#3284#156#218,87#3405#229#339,87#3406#178#340
وعلم النفس~82#2658#48#293
وعلم رسول~87#3085#226#19,87#3744#324#231
وعلم فلا~19#181#97#146
وعلم في~53#1543#2#399,87#3228#685#162
وعلم كل~85#2884#97#30,37#558#21#167
وعلم لا~87#3165#410#99
وعلم ما~86#3060#41#206,87#3318#398#252,2#50#151#48
وعلم مع~41#1085#74#174
وعلم من~41#1085#71#174,87#3861#231#348,90#4233#184#239
وعلم هو~87#3661#189#148
وعلم ومن~87#3315#336#249
وعلما أن~82#2545#6#180
وعلما بما~82#2466#250#101
وعلما به~86#3013#192#159
وعلما فهو~46#1494#240#66,83#2839#172#68
وعلما وكان~41#1168#60#257
وعلما يا~87#3195#321#129
وعلماء الدنيا~87#3315#217#249,87#3336#140#270
وعلماء هذه~41#1067#73#156
وعلمائهم لم~41#1047#5#136
وعلمائهم له~41#1118#17#207
وعلمائهم وكان~87#3913#380#400
وعلماقوله تعالى~82#2658#131#293
وعلمت أن~82#2644#55#279,82#2644#72#279,82#2644#81#279,87#3324#257#258
وعلمت أنه~25#246#126#21,90#4440#113#455
وعلمت ما~87#3581#161#68
وعلمتم أن~82#2185#99#272
وعلمك ما~82#2073#43#160,82#2657#209#292,87#3192#378#126
وعلمنا مع~67#1784#85#50
وعلمنا وكان~37#581#207#190
وعلمناه من~41#1275#43#364,82#2064#43#151,82#2326#151#413,82#2326#242#413,82#2327#6#414,91#4644#41#76
وعلمه أن~87#3854#300#341
وعلمه بما~37#451#59#59
وعلمه على~25#234#94#9
وعلمه عن~87#3151#287#85
وعلمه فهو~82#2283#96#370
وعلمه قال~87#3913#135#400
وعلمه لا~82#2643#97#278,87#3660#37#147
وعلمه مع~87#3304#68#238
وعلمه وقال~45#1478#54#352
وعلمه ولم~87#3655#372#142
وعلمها علم~82#2266#202#353,82#2308#229#395
وعلمهم علم~82#2247#197#334
وعلموا أن~19#183#162#148
وعلموه ولم~87#3173#51#107
وعلمي الذي~85#2866#20#12
وعلمية فإذا~85#2924#77#70
وعلنا فإذا~90#4431#145#446
وعلناقال أبو~82#2267#225#354
وعلناقال بعضهم~82#2199#75#286
وعلو النفس~82#2324#33#411
وعلو في~82#2350#204#437
وعلو من~87#3679#105#166
وعلو هو~87#3653#175#140
وعلوا في~87#3537#167#24
وعلوا وقال~3#90#93#215
وعلوت في~7#119#47#8
وعلوم الحق~16#169#33#108
وعلوم له~87#3661#64#148
وعلوم هذا~87#3301#252#235
وعلوم هذه~87#3648#126#135,87#3648#164#135
وعلومهم قال~9#139#220#33
وعلومهم من~87#3463#158#397,87#3713#433#200
وعلوها في~87#3612#151#99
وعلى أبي~41#1192#44#281
وعلى أن~71#1831#196#140,87#3556#246#43
وعلى أنه~87#3765#167#252
وعلى أهل~12#149#70#52,85#2916#101#62
وعلى أي~87#3132#306#66,87#3142#132#76,87#3420#225#354
وعلى العبد~87#3207#115#141,87#3291#306#225,87#3382#195#316,87#3699#361#186
وعلى القلب~82#2257#268#344,82#2517#127#152,91#4596#28#28
وعلى الله~1#11#26#91,41#1224#132#313,82#2088#58#175,82#2276#79#363,25#267#72#42,87#3196#235#130,87#3209#320#143,87#3210#70#144,87#3289#793#223,87#3396#17#330,87#3516#41#3,87#3526#357#13,87#3529#46#16,87#3529#73#16,87#3564#660#51,87#3636#328#123,87#3637#320#124,90#4292#15#298,90#4292#23#298,91#4611#66#43,37#588#153#197
وعلى بن~39#710#38#29
وعلى ذلك~58#1623#212#24,59#1627#115#25,87#3176#167#110,27#336#17#34,87#3435#1#369,87#3469#177#403,87#3499#289#433,87#3545#225#32,87#3546#202#33,87#3548#72#35,87#3548#149#35,87#3583#96#70,87#3623#196#110,87#3674#198#161,31#374#195#34,87#3806#132#293,87#3887#106#374,87#3914#318#401
وعلى غير~71#1826#85#135,82#2141#83#228
وعلى كل~82#2511#11#146,82#2637#100#272,82#2704#55#339,25#284#139#59,85#2953#77#99,86#3072#78#218,87#3090#285#24,25#311#121#86,87#3147#232#81,87#3649#201#136,90#4509#93#524,90#4530#261#545,41#932#175#21
وعلى ما~19#178#69#143,19#178#118#143,82#2245#195#332,87#3663#301#150,87#3897#311#384,90#4012#184#17
وعلى محمد~46#1482#73#54,60#1645#101#443
وعلى من~41#1182#59#271,17#174#176#194,20#190#107#155,82#2037#134#124,82#2122#45#209,25#249#36#24,87#3681#16#168,87#3687#352#174,37#581#10#190
وعلى هذا~46#1489#265#61,46#1491#195#65,46#1491#274#65,58#1625#52#26,87#3152#187#86,87#3153#171#87,87#3164#25#98,87#3164#211#98,87#3169#116#103,87#3169#261#103,87#3227#418#161,87#3381#304#315,87#3411#66#345,87#3696#373#183,87#3764#263#251,87#3802#321#289,90#4012#116#17,90#4149#165#155,90#4196#9#202,90#4305#182#311,90#4559#86#574,90#4569#148#584,37#516#42#125,39#718#110#37
وعلى هذه~87#3159#112#93,87#3426#367#360,87#3554#237#41
وعلىآله وسلم~40#889#126#85
