فتسامع بها~87#3682#280#169
فتعتاد ذلك~83#2846#194#75
فتعجب منه~87#3798#299#285,90#4151#27#157,90#4309#50#315
فتعجبت منه~90#4043#26#49,90#4275#0#281
فتعجبنا من~90#4323#88#329
فتعجبوا من~41#1016#193#105
فتعجز عن~82#2259#181#346
فتعجله وما~38#665#31#135
فتعدل عن~87#3175#53#109
فتعذر عليه~87#3804#139#291
فتعذر في~70#1821#27#68
فتعرض كل~85#2948#146#94
فتعرض لي~85#2955#79#101
فتعرفت إليه~87#3584#74#71
فتعرفه لا~85#2989#156#135
فتعرفه ولا~85#2866#48#12
فتعصيني فيه~86#3055#123#201
فتعطف الحق~82#2352#294#439
فتعطفي عليه~90#4176#112#182
فتعظم على~87#3419#128#353
فتعظيم هذه~72#1844#134#162
فتعقركم عن~69#1795#148#10
فتعلق به~46#1508#87#80,82#2098#121#185,90#4369#94#384,90#4487#138#502
فتعلق في~90#4290#90#296
فتعلقت به~90#4302#268#308,39#827#113#148,39#829#125#150
فتعلقت عند~41#1169#126#258
فتعلم أن~91#4584#54#16
فتعلم ما~41#1175#74#264,41#1175#78#264
فتعلم ولا~85#2880#57#26
فتعمل في~37#494#46#103
فتعمله إن~41#1319#145#409
فتعمى عن~82#2223#100#310
فتعود عليه~82#2724#151#359
فتغرقكم في~82#2246#131#333
فتغضب عليه~82#2291#126#378
فتغطيت ولم~85#2927#14#73
فتغفر لي~87#3130#330#64
فتغير عليه~41#1138#34#227,90#4101#44#107
فتغير هذه~82#2415#83#50
فتغيرت عند~25#300#54#75
فتفتت لما~16#167#118#106
فتفرقت ما~85#2911#112#57
فتفسد عليه~90#4297#164#303
فتفصيل ذلك~87#3267#148#201,87#3845#148#332
فتفضل الله~41#951#67#40
فتفضلت علي~87#3608#169#95
فتفطر عليه~43#1367#97#40
فتفكر في~90#4373#170#388
فتفكر وقال~87#3807#62#294
فتفل على~90#4319#168#325
فتفنى عن~39#787#82#106
فتق في~87#3495#101#429
فتقاضاها فإن~30#359#273#19
فتقبل به~85#2990#10#136,85#2990#18#136
فتقبل عليه~87#3175#101#109
فتقبلت فقال~40#894#0#90
فتقتلهم قال~90#4315#138#321
فتقدم إلى~46#1502#245#74,25#258#41#33,90#4530#165#545
فتقدم إليه~41#981#62#70
فتقدم محمد~90#4422#19#437
فتقدمت إلى~41#1192#38#281,90#4517#133#532,90#4550#56#565,39#833#82#154
فتقدمت إليه~90#4542#137#557
فتقر فيه~85#2856#18#2
فتقرب إلى~82#2632#46#267,87#3311#9#245
فتقطعه عن~39#785#166#104
فتقطعون به~87#3173#354#107
فتقع على~87#3248#183#182,87#3988#345#475
فتقع في~87#3807#25#294
فتقع كل~87#3799#246#286
فتقهر النفس~82#2149#12#236
فتقول الله~82#2482#101#117
فتقول لهم~87#3578#178#65
فتقول يا~37#522#39#131
فتقوم لله~2#51#2#49
فتقوم له~39#808#15#129
فتكاسلت فقال~90#4384#160#399
فتكتبه ولا~58#1624#123#25
فتكتري بها~90#4298#154#304
فتكثر بها~87#3826#90#313
فتكره ذلك~87#3346#195#280
فتكسب فقد~87#3563#231#50,87#3564#219#51
فتكسرا في~90#4319#200#325
فتكسى في~85#2956#177#102
فتكلم أبو~87#3787#224#274
فتكلم بين~54#1549#27#55
فتكلم عليهم~87#3502#7#436
فتكلم فإن~87#3320#287#254
فتكلم في~41#1187#70#276,41#1300#7#390,90#4073#194#79
فتكلم وقال~90#4241#141#247
فتكلمت في~87#3248#216#182
فتكون الدنيا~87#3477#414#411
فتكون النفس~87#3267#390#201
فتكون بما~86#3010#147#156
فتكون به~86#3040#130#186,87#3609#199#96
فتكون في~36#425#116#329
فتكون فيه~25#271#115#46,25#271#123#46
فتكون قد~87#3226#57#160,87#3693#28#180,87#3808#361#295,87#3896#219#383,87#3948#102#435,37#571#104#180
فتكون كل~82#2615#206#250,39#802#176#123
فتكون لما~87#3620#255#107
فتكون له~87#3462#323#396,32#381#5#117,87#3978#76#465
فتكون لهم~85#2905#71#51
فتكون من~60#1677#158#475,86#3072#99#218,87#3263#69#197,87#3643#165#130
فتكون نفسه~90#4165#104#171
فتكون ولا~82#2349#204#436
فتكونوا من~82#2421#71#56
فتلا قوله~87#3157#434#91
فتلاقيا في~82#2428#36#63
فتلزم ذلك~2#23#21#21
فتلعنه إلى~87#3629#634#116
فتلعنه حتى~87#3173#218#107
فتلقى بين~87#3783#54#270
فتلقى ذلك~82#2543#235#178
فتلقى عليه~87#3771#367#258
فتلك لي~86#3071#56#217
فتلكعت علي~87#3627#239#114
فتلوح على~90#4158#14#164
فتليني لا~85#2884#138#30
فتم به~82#1944#236#31,82#2792#174#427
فتم له~82#2554#119#189
فتم لي~80#1895#183#20
فتمت به~87#3211#346#145
فتمت له~82#2475#181#110
فتمتعت سمعت~41#1183#63#272
فتمر فإن~87#3813#277#300
فتمسك على~87#3381#73#315
فتمطر على~82#2257#211#344
فتمكن فيها~87#3808#250#295
فتمكنت من~52#1537#169#51
فتمكنت منه~83#2809#26#38
فتمنعوني عن~90#4384#77#399
فتمنى أن~87#3766#112#253
فتمنيت في~90#4375#42#390
فتن الدنيا~87#3197#19#131
فتنا الذين~60#1669#198#467,82#2478#210#113,87#3565#238#52
فتنا بعضهم~82#2113#97#200,82#2113#111#200
فتناجي من~37#445#91#53
فتنادي أي~87#3512#287#446
فتنازع النفس~87#3748#12#235
فتنازعك إليه~87#3804#61#291
فتناهى من~82#2159#135#246
فتناهيها من~32#395#43#131
فتناول على~82#1970#20#57
فتناول منها~44#1436#47#40
فتناولت منه~90#4279#151#285
فتنبتقوله تعالى~82#2010#147#97
فتنة أو~87#3728#249#215,90#4217#185#223
فتنة إن~82#2178#231#265,87#3531#138#18
فتنة الدنيا~60#1654#35#452
فتنة الناس~82#2480#46#115,87#3394#16#328,87#3394#24#328
فتنة حتى~82#2179#30#266
فتنة على~60#1654#5#452
فتنة عليهم~87#3393#431#327
فتنة فقال~87#3361#11#295
فتنة فهو~41#1123#95#212
فتنة في~87#3169#174#103,87#3169#195#103,87#3909#137#396
فتنة لا~82#2178#95#265,82#2178#142#265
فتنة له~82#2424#234#59,90#4243#7#249
فتنة لهم~87#3491#134#425,87#3501#149#435
فتنة ما~7#125#223#14
فتنة من~82#2425#42#60,37#463#83#71
فتنة نفسه~82#2205#231#292
فتنة وفي~87#3531#135#18,87#3531#176#18,87#3531#248#18
فتنة وقال~49#1514#75#374,85#2920#74#66
فتنة وقد~87#3552#18#39
فتنة ولا~82#2654#21#289,37#491#96#100
فتنة وما~45#1480#61#354
فتنة ومن~82#2400#60#35
فتنتفع بها~37#525#154#134
فتنتك وقال~90#4133#51#139
فتنتك يا~86#3014#95#160
فتنته فلا~37#488#1#97
فتنته في~86#3010#33#156
فتنتهاومن الناس~37#468#95#76
فتنحاش عند~37#585#193#194
فتنحى رسول~42#1350#118#15
فتنحى عن~90#4431#43#446
فتندرج في~87#3282#201#216
فتنزل عن~91#4629#14#61
فتنطق بها~41#1193#109#282
فتنطق عن~90#4373#136#388
فتنعمت مع~37#503#106#112
فتنفسه من~87#3097#43#31
فتنوا ثم~82#2288#231#375
فتنيب ثم~85#2883#224#29
فتهاجروا فيها~82#2070#210#157,82#2198#219#285,82#2262#122#349,87#3250#235#184,87#3595#23#82,87#3856#52#343
فتهت وقال~85#2964#148#110
فتهجد به~87#3078#189#12,87#3107#177#41,87#3107#322#41
فتهلك سمعت~41#1208#13#297
فتهلك وقال~87#3904#41#391
فتوالت عليه~82#2220#169#307,90#4404#33#419
فتوبة هذا~87#3391#49#325
فتوبوا إلى~82#1972#170#59
فتوة أهل~82#2322#67#409
فتوجك الله~17#172#67#192
فتوجه إليه~87#3631#239#118
فتوجه في~87#3258#380#192
فتوحد ثم~77#1868#195#59
فتوحيدهم في~87#3214#96#148
فتوخا إذا~41#1329#97#419
فتور النفس~43#1409#6#107,14#159#96#68,14#159#219#68
فتور من~78#1875#150#48
فتوردني على~86#3058#85#204
فتورها عن~87#3922#233#409
فتوسد عبد~90#4349#114#364
فتوسلوا بما~9#141#231#35
فتوضأ ثم~87#3120#129#54,90#4542#50#557
فتوعد على~44#1441#79#45
فتوعد عليه~87#3331#233#265
فتوفقت حتى~87#3787#148#274
فتوقد في~87#3278#89#212
فتوقع عليه~41#1049#44#138,87#3286#209#220
فتوقف ثم~87#3354#184#288
فتوقف عند~37#520#33#129
فتوقفت وكان~39#832#134#153
فتوكل على~49#1519#72#379,82#2037#161#124,82#2037#260#124,82#2461#178#96,91#4633#43#65,37#564#60#173,40#841#83#37
فتوكل فقال~90#4299#81#305
فتوكلوا إن~41#1224#134#313,82#2088#60#175,25#267#74#42,87#3529#48#16,87#3636#330#123,87#3637#322#124,90#4292#25#298,91#4611#68#43,37#588#155#197
فتوكلوا عليه~87#3573#181#60
فتولاه الحق~82#2343#41#430
فتولدهم من~82#2194#68#281
فتولها من~87#3933#103#420
فتولى الله~17#173#124#193
فتوهم أن~87#3801#243#288,90#4369#86#384
فتوهمت أنه~90#4431#47#446,90#4521#221#536
فتى إلى~90#4367#93#382
فتى إن~41#1134#23#223,90#4440#59#455
فتى الحق~41#1184#5#273
فتى به~90#4171#7#177
فتى على~90#4366#49#381
فتى عليه~90#4423#130#438,39#831#53#152
فتى فقال~87#3974#189#461
فتى في~87#3518#277#5
فتى كل~90#4515#182#530
فتى لا~41#1125#33#214
فتى لم~87#3485#175#419
فتى من~41#1025#57#114,41#1280#65#369
فتى ولا~87#3357#387#291
فتىفقال أنا~90#4487#211#502
فتي إن~90#4384#93#399
فتي من~46#1493#133#65,77#1869#58#60
فتيأس من~87#3805#359#292
فتيا إلا~87#3294#308#228
فتيا القلب~87#3340#333#274
فتياهم ثم~87#3340#325#274
فتيتا ولا~87#3828#400#315
فتيممنا إلى~87#3230#0#164
فثار الناس~87#3233#106#167,87#3234#244#168
فثبت على~87#3893#231#380
فثبت لأن~85#2964#69#110
فثبت له~87#3621#294#108
فثبت هذا~87#3502#265#436
فثبت وقال~85#2889#62#35
فثبتوا الذين~87#3223#280#157
فثقل ذلك~90#4213#31#219
فثقل علي~90#4287#39#293
فثقلت عليهم~87#3175#174#109
فثقلناك عن~87#3796#347#283
فثلاثة قال~90#4266#107#272
فثلثاه قال~87#3366#399#300
فثم لا~87#3518#33#5
فثوابه على~58#1611#15#12
فثوقيهم من~87#3975#304#462
فجأة في~87#3228#125#162,87#3228#371#162
فجأة ما~91#4664#5#96
فجأة من~87#3228#47#162
فجأة وهو~86#3036#132#182
فجئت أنا~87#3296#145#230,87#3970#414#457
فجئت إلى~87#3923#104#410,90#4304#98#310
فجئت به~86#3030#76#176,90#4303#150#309
فجئت على~82#2357#133#444
فجئت فقال~87#3323#163#257
فجئتهما به~90#4512#266#527
فجئنا إلى~90#4363#121#378
فجا إلى~77#1870#119#61
فجاء أبو~87#3454#55#388,90#4529#170#544
فجاء إلى~54#1551#182#57,25#254#82#29,87#3914#91#401
فجاء ابن~87#3953#4#440
فجاء النبي~41#1236#141#325,90#4491#65#506
فجاء به~82#2472#113#107,83#2814#1#43,87#3230#165#164,87#3230#330#164,87#3690#61#177
فجاء ذلك~90#4515#13#530
فجاء عبد~41#1325#111#415
فجاء من~87#3406#239#340,87#3472#305#406,87#3478#66#412,87#3574#382#61
فجاء هو~87#3569#424#56
فجاءت إلى~54#1549#139#55,83#2830#260#59
فجاءني بعد~90#4513#147#528
فجاءه الناس~87#3568#432#55
فجاءه هذا~87#3842#334#329
فجاءوا ثم~90#4257#224#263
فجاؤوا إلى~87#3879#373#366,87#3922#389#409
فجاؤوا على~87#3657#334#144
فجائز أن~32#398#110#134,39#761#162#80
فجائز بعد~87#3666#176#153
فجائز له~87#3827#126#314,87#3940#165#427
فجائز ولا~87#3199#364#133
فجاد لك~25#309#103#84
فجار إلا~40#888#15#84
فجاز أن~39#733#152#52
فجاز ذلك~87#3533#45#20
فجال في~87#3690#291#177
فجالت في~41#1301#65#391,87#3170#171#104
فجامعها ثم~87#3921#179#408
فجانست النفس~82#2728#138#363
فجاهد قال~87#3265#162#199
فجبره بعد~87#3467#332#401
فجبرها حتى~83#2821#10#50
فجد عند~25#239#53#14
فجدت في~37#440#91#48
فجر فقد~40#905#19#101
فجر وفي~87#3456#256#390,87#3739#278#226
فجرت على~20#186#101#151
فجرعتها من~39#776#68#95
فجره ولا~87#3386#145#320
فجرى ذلك~7#119#41#8
فجرى على~90#4337#50#352
فجرى عليه~87#3575#369#62
فجرى في~83#2802#67#31
فجريت بها~85#2951#183#97
فجزاك الله~30#356#152#16,30#358#127#18
فجزاه الله~64#1731#64#186
فجزت به~90#4096#51#102
فجزت على~41#1314#200#404
فجعل أبو~87#3333#403#267,87#3355#192#289
فجعل ابن~43#1367#132#40
فجعل العلم~87#3307#154#241
فجعل الله~20#191#85#156,25#283#13#58,37#583#140#192
فجعل تعالى~87#3305#81#239,87#3383#157#317
فجعل ذلك~60#1648#217#446,82#2708#85#343,83#2835#159#64,87#3589#337#76
فجعل في~83#2800#59#29,83#2800#125#29
فجعل كل~80#1893#174#18
فجعل لك~82#2717#123#352
فجعل له~87#3247#113#181,87#3279#340#213
فجعل لهم~25#232#88#7
فجعل من~87#3443#112#377
فجعل هذه~87#3401#376#335
فجعل يقول~45#1477#148#351,82#2440#154#75,87#3315#28#249,87#3584#4#71,87#3824#89#311
فجعلت على~87#3237#327#171,87#3248#266#182,87#3546#77#33,87#3546#406#33
فجعلت له~87#3784#18#271
فجعلتها في~86#3031#91#177,87#3889#107#376
فجعلنا إذا~44#1460#73#64
فجعلنا الله~82#2132#53#219
فجعلنا له~82#2127#57#214
فجعله الله~90#4271#126#277
فجعله في~87#3490#209#424,87#3499#457#433,87#3634#180#121,87#3887#339#374
فجعله من~87#3479#73#413
فجعلها الله~90#4024#77#30
فجعلها في~40#895#100#91
فجعلها فيها~87#3734#345#221
فجعلهم على~21#203#119#171
فجعلهم في~87#3449#437#383
فجعلهم له~37#430#74#38
فجعلهما على~87#3247#57#181
فجعلهن في~87#3920#106#407
فجعلوا الخلق~20#186#108#151
فجعلوا في~56#1577#64#80
فجل عن~82#2795#105#430
فجلاء هذا~87#3224#135#158
فجلب على~83#2814#235#43
فجلس ثم~82#2375#5#10,90#4385#106#400
فجلس عن~82#2783#94#418
فجلس عند~46#1503#8#75
فجلست إلى~46#1503#63#75,87#3954#253#441
فجلسوا في~87#3830#174#317
فجلهم عن~87#3329#136#263
فجلوسك على~90#4237#27#243
فجمحت إلى~37#479#137#88
فجمع بين~87#3166#357#100,87#3166#650#100,87#3691#13#178
فجمع ذلك~90#4216#210#222
فجمعه بين~71#1823#138#132
فجمعه في~87#3544#105#31
فجمعوا له~87#3915#124#402,87#3915#152#402,90#4301#92#307
فجملة ذلك~87#3854#377#341
فجميع الحق~3#108#96#233
فجميلالعدو غير~40#899#83#95
فجنوده في~82#2620#235#255
فجهد أن~90#4230#11#236
فجهز إليه~87#3952#20#439
فجهل بعض~37#500#24#109
فجهل هذا~87#3346#326#280
فجهلوه فإن~90#4567#247#582
فجوابه كل~63#1724#107#166
فجوره ولا~87#3876#66#363
فجورها أي~82#2762#31#397
فجيت إلى~46#1508#129#80
فجيت إليه~46#1506#124#78
فحاد أبو~90#4203#241#209
فحاك في~87#3842#385#329
فحال بين~85#2879#191#25
فحال ذلك~37#479#143#88
فحال من~41#1283#34#372
فحالا من~82#2539#217#174
فحالا وقد~87#3637#744#124
فحالاك لي~39#797#309#117
فحالك أن~87#3855#0#342
فحاله عن~87#3226#162#160
فحاله في~87#3421#413#355
فحبب إليه~46#1489#280#61
فحببتك إلى~82#2356#190#443
فحبسهم في~87#3410#196#344
فحبك به~6#116#27#3
فحج على~87#3703#112#190
فحجاب يا~86#3018#130#164
فحجب الله~19#178#60#143
فحجب ذلك~87#3154#379#88
فحجبت عن~41#1117#139#206,90#4151#199#157
فحجبتهم عن~87#3463#183#397
فحجبه ذلك~87#3285#259#219
فحجبها في~82#2292#102#379
فحجبهم الله~82#2343#119#430
فحجبهم ذلك~87#3463#280#397
فحجبهم عن~82#2292#49#379
فحجبوا بها~87#3530#189#17
فحدث الناس~80#1901#224#26
فحدث وقد~87#3334#346#268
فحدثت أن~87#3632#313#119
فحدثت به~44#1427#101#31,44#1430#173#34,87#3510#209#444
فحدثت عن~87#3330#100#264
فحدثنا به~60#1672#204#470
فحدثنا عن~87#3627#224#114,87#3894#210#381
فحدثناه في~87#3751#177#238
فحدثني بعض~87#3288#261#222
فحدثني بما~87#3277#159#211
فحدثني عن~41#1238#55#327
فحدثني من~87#3639#262#126
فحدثونا عن~87#3299#219#233
فحدد ما~61#1690#17#162
فحديث رسول~87#3366#366#300
فحرام عليه~29#347#37#43
فحرص على~87#3219#107#153
فحرص هذا~87#3257#310#191
فحركته فإذا~90#4459#136#474
فحركناه فإذا~82#2674#235#309,87#3628#214#115
فحركني علي~41#1192#82#281
فحرم الله~83#2836#287#65
فحرمه الله~83#2836#238#65
فحسب عليه~87#3585#14#72
فحسب وما~61#1701#190#182
فحسبك من~44#1451#140#55
فحسبنا ذلك~87#3144#12#78
فحسم ذلك~87#3247#213#181
فحسن الله~82#2013#216#100
فحسن ذلك~87#3919#274#406
فحسن فإن~87#3199#246#133
فحسن قد~87#3669#82#156,87#3868#298#355,87#3889#12#376
فحسن كل~87#3670#157#157
فحسن لأن~87#3808#380#295,87#3808#448#295
فحسن من~87#3813#0#300
فحسن هذا~87#3618#211#105
فحسن وإن~87#3674#302#161,87#3793#105#280,87#3858#203#345
فحسن وقد~87#3708#325#195
فحسن ولا~87#3814#163#301
فحسن وهو~87#3150#254#84
فحسنا قد~87#3143#312#77
فحسنوروينا أن~87#3816#50#303
فحش وقد~87#3989#313#476
فحصل له~58#1614#207#15,87#3374#377#308
فحصل لهم~87#3537#135#24
فحصل من~87#3475#205#409,87#3483#79#417
فحصلت في~85#2955#59#101
فحصلت ما~85#2902#14#48
فحضر هو~87#3831#116#318
فحضر ولم~87#3831#156#318
فحظ كل~85#2934#14#80
فحظها منه~82#2247#137#334
فحظي في~39#823#28#144
فحظي من~90#4462#149#477
فحفرنا له~87#3964#345#451,87#3964#363#451
فحفظ هذا~1#7#87#87
فحق الله~82#2452#74#87
فحق له~82#2359#10#446
فحققه الله~87#3480#63#414
فحقيقة العلم~87#3277#371#211
فحقيقة القلب~45#1472#165#346
فحكمت بها~85#2893#114#39
فحكمه إلى~87#3475#109#409
فحكي هذه~90#4203#166#209
فحل في~87#3446#375#380
فحلف على~30#371#2#31
فحللت في~86#3043#155#189
فحللتهما من~90#4519#236#534
فحم وكان~90#4535#206#550
فحماهم ذلك~7#129#14#18
فحمد الله~42#1346#147#11
فحمد ثم~87#3694#114#181
فحمد نفسه~82#1948#28#35
فحمده عليه~37#459#92#67
فحمل إلى~60#1672#211#470,90#4279#145#285
فحمل إليه~90#4378#11#393
فحمل نفسه~2#71#78#69
فحملت إلى~90#4301#133#307
فحملت إليه~90#4268#59#274
فحملت عليه~87#3954#231#441
فحملت كل~83#2833#48#62
فحملت هذا~90#4518#173#533
فحملت وكان~90#4535#202#550
فحملته إلى~90#4444#71#459
فحملته فقال~90#4377#27#392
فحملتها إليه~90#4423#150#438
فحملتها وقال~85#2980#27#126
فحملتها ولم~85#2881#47#27
فحملني ذلك~41#1218#190#307
فحمله إلى~87#3569#406#56
فحمله إليه~90#4050#91#56
فحمله ابن~87#3682#110#169
فحمله بما~87#3214#144#148
فحمله ذلك~87#3614#204#101,87#3618#230#105
فحملهم إلى~60#1654#67#452
فحملوا العلم~7#125#141#14
فحملوه إلى~90#4367#156#382
فحواه فإذا~87#3687#368#174
فحولوني إلى~87#3921#21#408
فحياتك غير~82#2270#11#357
فحياه وقال~40#919#78#115
فحيث قال~87#3353#220#287
فحيث ما~87#3856#21#343
فحيث يكون~84#2848#223#1,84#2848#283#1,84#2848#321#1
فحين قال~25#304#63#79
فحينئذ الله~82#2147#196#234
فحينئذ لا~87#3275#323#209
فحينئذ لم~80#1893#35#18
فحينئذ يكون~90#4233#197#239
فحينيذ لا~28#341#177#38
فحيي القلب~83#2803#209#32
فخابوا عن~83#2805#108#34
فخار وهو~26#328#204#17
فخاطبك كل~85#2940#40#86
فخاطبني به~86#3042#126#188
فخاطبه كل~87#3745#204#232
فخاف أن~41#1025#86#114,82#2376#164#11,87#3447#28#381,87#3766#107#253
فخالف بين~87#3806#252#293
فخالفته كان~87#3943#462#430
فخالفه إذا~41#1277#153#366
فخالفه فإن~82#2380#29#15
فخالفوا به~87#3348#177#282
فخالفوا من~82#2406#81#41
فخبر عن~82#2272#52#359
فخبز فيه~87#3970#412#457
فختم بها~87#3679#164#166
فخجلت فقال~90#4057#53#63
فخدمة النفس~82#2257#245#344
فخذ به~87#3351#78#285
فخذ فيه~38#622#4#84
فخذ لهم~87#3716#99#203
فخذ ما~82#2156#9#243,82#2156#28#243,25#248#15#23,87#3621#415#108,38#645#55#110
فخذ من~87#3907#120#394,87#3996#259#483,41#962#73#51
فخذ منه~87#3907#130#394
فخذ منها~87#3989#233#476
فخذ هذا~90#4534#59#549
فخذ هذه~87#3843#107#330
فخذ وإن~87#3957#382#444
فخذه إن~8#137#235#28
فخذه حتى~41#1071#152#160
فخذه عنه~87#3532#271#19
فخذه وقال~90#4433#165#448
فخذها من~11#148#28#49
فخذها منه~85#2888#42#34
فخذوا منه~76#1857#191#221
فخذوه وما~82#2682#253#317,82#2683#134#318,30#361#98#21
فخر في~82#2629#7#264
فخر ولا~82#2431#231#66,25#263#102#38
فخربته ثم~87#3717#39#204
فخرج إلى~41#1163#86#252,46#1502#275#74,82#2170#181#257,87#3880#193#367,90#4059#160#65,90#4369#127#384,90#4488#12#503,90#4488#73#503
فخرج إليه~87#3824#256#311,90#4250#91#256,90#4250#106#256
فخرج الذي~87#3980#302#467
فخرج حتى~87#3620#40#107
فخرج على~76#1858#225#222,82#2476#3#111,87#3316#225#250,87#3469#40#403
فخرج عليه~87#3726#379#213
فخرج عليهم~87#3433#240#367,87#3756#271#243
فخرج عن~41#1290#138#379
فخرج عند~13#153#55#59
فخرج عنه~85#2866#179#12
فخرج فقال~87#3620#212#107
فخرج في~87#3589#233#76,90#4320#200#326,90#4541#106#556
فخرج له~90#4539#185#554
فخرج لي~90#4517#68#532
فخرج من~46#1493#142#65,87#3768#93#255,90#4528#152#543
فخرج منه~85#2949#17#95,85#2949#22#95,25#304#11#79
فخرج منها~87#3863#203#350,90#4033#91#39,90#4539#53#554
فخرج وقال~87#3833#110#320,87#3978#277#465,90#4535#251#550
فخرج ولم~90#4285#186#291
فخرج وهو~87#3943#185#430
فخرجا في~41#1025#157#114
فخرجت إلى~90#4054#71#60,90#4168#51#174,90#4300#54#306,90#4379#142#394
فخرجت فإذا~90#4380#63#395
فخرجت في~42#1347#166#12
فخرجت من~82#2023#98#110,85#2904#75#50,90#4535#234#550
فخرجت منها~37#465#48#73
فخرجت ولا~80#1896#105#21
فخرجت يا~86#3014#156#160
فخرجتويحكى عن~90#4376#242#391
فخرجنا إلى~90#4530#247#545
فخرجنا من~87#3889#422#376
فخرجهم من~90#4559#219#574
فخرجوا على~87#3159#271#93
فخرجوا عن~9#142#90#36,39#702#117#21
فخرجوا من~19#178#65#143,19#178#114#143,25#289#132#64,90#4513#201#528
فخرجوا ولم~87#3825#318#312
فخروج عن~34#413#193#107
فخروجها من~87#3938#306#425
فخرويه لم~41#1318#120#408
فخسروا ما~87#3604#331#91
فخسف الله~82#2475#244#110
فخسف به~82#2087#168#174
فخشع لي~86#3064#9#210
فخشوا عليه~87#3461#357#395
فخشي عليه~87#3932#131#419
فخشية الله~87#3205#168#139
فخشيت أن~87#3475#331#409,87#3744#44#231,90#4219#165#225,90#4296#98#302
فخشينا أن~87#3460#86#394
فخص أبا~82#2623#314#258
فخص بعض~87#3230#26#164
فخصصهم عند~46#1497#114#69
فخصهم الله~82#2672#271#307
فخضع له~82#2415#354#50,82#2452#211#87
فخط على~87#3113#69#47
فخطابها بما~82#2346#179#433
فخطب الناس~87#3493#382#427
فخطب فقال~46#1494#50#66
فخطبنا، فقال~44#1444#116#48
فخطر على~87#3913#172#400
فخطر في~53#1548#52#404
فخطر لي~90#4536#284#551
فخفاؤه في~82#2794#185#429
فخفت على~90#4252#104#258
فخفنا منها~87#3605#365#92
فخل عن~7#122#196#11,37#549#135#158
فخلافنا إذا~34#407#141#100
فخلت من~87#3222#11#156
فخلص له~87#3179#174#113
فخلصوا إلى~83#2813#10#42
فخلطوا ولم~25#294#9#69
فخلع عليهم~41#983#59#72
فخلف من~7#124#83#13,82#2343#98#430,87#3172#296#106,87#3339#313#273,87#3439#264#373
فخلقت من~85#2957#83#103,86#3063#61#209,86#3063#67#209
فخمور الدنيا~82#2729#202#364
فخور بما~82#2228#6#315
فخور ثم~87#3636#309#123,87#3637#301#124
فخوطب على~41#1277#31#366
فخوف أهل~82#2325#16#412
فخوفهم في~87#3435#236#369
فخوفهم من~82#2729#70#364
فخولط في~90#4159#94#165
فخيرهم من~87#3383#106#317
فخيف منه~87#3913#3#400
